MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area,Blk.QC
Acetyl-L-carnitine,"Indole 3 Acetic Acid, D5",0.20320428035051383,0.13505979988486472,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,152601,131696.20354968365,ok
Acetyl-L-carnitine,"Indole 3 Acetic Acid, D5",0.20320428035051383,0.13505979988486472,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,301660,246419.49015677272,ok
Acetyl-L-carnitine,"Indole 3 Acetic Acid, D5",0.20320428035051383,0.13505979988486472,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,63821,54841.15279279924,ok
Acetyl-L-carnitine,"Indole 3 Acetic Acid, D5",0.20320428035051383,0.13505979988486472,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,609686,479898.5188413456,ok
Acetyl-L-carnitine,"Indole 3 Acetic Acid, D5",0.20320428035051383,0.13505979988486472,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,392739,316919.71225277707,ok
Acetyl-L-carnitine,"Indole 3 Acetic Acid, D5",0.20320428035051383,0.13505979988486472,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,305210,247094.0871304012,ok
Adenosyl Homocysteine,Inj_vol,0.06168204708476765,0.06168204708476765,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,538986,35932.4,ok
Adenosyl Homocysteine,Inj_vol,0.06168204708476765,0.06168204708476765,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,954439,63629.26666666667,ok
Adenosyl Homocysteine,Inj_vol,0.06168204708476765,0.06168204708476765,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,672085,44805.666666666664,ok
Adenosyl Homocysteine,Inj_vol,0.06168204708476765,0.06168204708476765,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,788801,52586.73333333333,ok
Adenosyl Homocysteine,Inj_vol,0.06168204708476765,0.06168204708476765,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,501830,33455.333333333336,ok
Adenosyl Homocysteine,Inj_vol,0.06168204708476765,0.06168204708476765,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,760209,50680.6,ok
Decarboxylated S-Adenosylmethionine,Inj_vol,0.2953388002372372,0.2953388002372372,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,430919,28727.933333333334,ok
Decarboxylated S-Adenosylmethionine,Inj_vol,0.2953388002372372,0.2953388002372372,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,538292,35886.13333333333,ok
Decarboxylated S-Adenosylmethionine,Inj_vol,0.2953388002372372,0.2953388002372372,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,680260,45350.666666666664,ok
Decarboxylated S-Adenosylmethionine,Inj_vol,0.2953388002372372,0.2953388002372372,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,136537,9102.466666666667,ok
Decarboxylated S-Adenosylmethionine,Inj_vol,0.2953388002372372,0.2953388002372372,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,436359,29090.6,ok
Decarboxylated S-Adenosylmethionine,Inj_vol,0.2953388002372372,0.2953388002372372,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,217530,14502,ok
Domoic Acid,"Indole 3 Acetic Acid, D5",0.4405420945603866,0.34618843517752423,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,73642,63553.78943654238,ok
Domoic Acid,"Indole 3 Acetic Acid, D5",0.4405420945603866,0.34618843517752423,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,54826,44786.16643683359,ok
Domoic Acid,"Indole 3 Acetic Acid, D5",0.4405420945603866,0.34618843517752423,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,70036,60181.67965084357,ok
Domoic Acid,"Indole 3 Acetic Acid, D5",0.4405420945603866,0.34618843517752423,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,47391,37302.596264979366,ok
Domoic Acid,"Indole 3 Acetic Acid, D5",0.4405420945603866,0.34618843517752423,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,412689,333018.31274685304,ok
Domoic Acid,"Indole 3 Acetic Acid, D5",0.4405420945603866,0.34618843517752423,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,127404,103144.63836952142,ok
Glutathione,"Pyridoxal, D3",0.3399804807816531,0.23231492116843003,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,24035,26302.37944069771,ok
Glutathione,"Pyridoxal, D3",0.3399804807816531,0.23231492116843003,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,28918,29922.06788211436,ok
Glutathione,"Pyridoxal, D3",0.3399804807816531,0.23231492116843003,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,26293,28315.81260256798,ok
Glutathione,"Pyridoxal, D3",0.3399804807816531,0.23231492116843003,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,91978,97032.67410527896,ok
Glutathione,"Pyridoxal, D3",0.3399804807816531,0.23231492116843003,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,23689,23853.207834192108,ok
Glutathione,"Pyridoxal, D3",0.3399804807816531,0.23231492116843003,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,17267,19091.998721560787,ok
Kynurenine,"Indole 3 Acetic Acid, D5",0.1821941424415696,0.09007177302402089,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,287686,248275.9222704589,ok
Kynurenine,"Indole 3 Acetic Acid, D5",0.1821941424415696,0.09007177302402089,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,90880,74237.89453506433,ok
Kynurenine,"Indole 3 Acetic Acid, D5",0.1821941424415696,0.09007177302402089,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,32632,28040.558717892614,ok
Kynurenine,"Indole 3 Acetic Acid, D5",0.1821941424415696,0.09007177302402089,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,223313,175775.03491636255,ok
Kynurenine,"Indole 3 Acetic Acid, D5",0.1821941424415696,0.09007177302402089,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,289018,233222.3216840526,ok
Kynurenine,"Indole 3 Acetic Acid, D5",0.1821941424415696,0.09007177302402089,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,696705,564043.3995419095,ok
Methylthioadenosine,"L-Phenylalanine, D8",0.10242894294939305,0.05876781659431518,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,3453,3611.674639560222,ok
Methylthioadenosine,"L-Phenylalanine, D8",0.10242894294939305,0.05876781659431518,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,4402,4052.84720958626,ok
Methylthioadenosine,"L-Phenylalanine, D8",0.10242894294939305,0.05876781659431518,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,13495,13210.995253518264,ok
Methylthioadenosine,"L-Phenylalanine, D8",0.10242894294939305,0.05876781659431518,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,26479,24003.958966209237,ok
Methylthioadenosine,"L-Phenylalanine, D8",0.10242894294939305,0.05876781659431518,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,45314,43065.59484595553,ok
Methylthioadenosine,"L-Phenylalanine, D8",0.10242894294939305,0.05876781659431518,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,115015,108469.96810604364,ok
Phenylalanine,"L-Phenylalanine, D8",0.11532519883160572,0.00839012866324454,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,19009522,19883060.676965576,ok
Phenylalanine,"L-Phenylalanine, D8",0.11532519883160572,0.00839012866324454,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,21677980,19958550.82972893,ok
Phenylalanine,"L-Phenylalanine, D8",0.11532519883160572,0.00839012866324454,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,22308082,21838604.32879557,ok
Phenylalanine,"L-Phenylalanine, D8",0.11532519883160572,0.00839012866324454,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,20645934,18716120.418258395,ok
Phenylalanine,"L-Phenylalanine, D8",0.11532519883160572,0.00839012866324454,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,23108084,21961499.386730533,ok
Phenylalanine,"L-Phenylalanine, D8",0.11532519883160572,0.00839012866324454,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,22737170,21443290.916156083,ok
Pyridoxamine,"Pyridoxal, D3",0.19247939867174457,0.08045812455342857,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,373851,409118.8207316114,ok
Pyridoxamine,"Pyridoxal, D3",0.19247939867174457,0.08045812455342857,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,427585,442431.26756255166,ok
Pyridoxamine,"Pyridoxal, D3",0.19247939867174457,0.08045812455342857,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,357383,384877.72621395625,ok
Pyridoxamine,"Pyridoxal, D3",0.19247939867174457,0.08045812455342857,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,315163,332482.86186959967,ok
Pyridoxamine,"Pyridoxal, D3",0.19247939867174457,0.08045812455342857,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,417618,420512.8519270395,ok
Pyridoxamine,"Pyridoxal, D3",0.19247939867174457,0.08045812455342857,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,321576,355564.2891576204,ok
Sulfurol,"L-Phenylalanine, D8",0.10686728083212692,0.07248386807560314,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,146931,153682.87473652564,ok
Sulfurol,"L-Phenylalanine, D8",0.10686728083212692,0.07248386807560314,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,163208,150262.85492552348,ok
Sulfurol,"L-Phenylalanine, D8",0.10686728083212692,0.07248386807560314,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,160478,157100.71109997068,ok
Sulfurol,"L-Phenylalanine, D8",0.10686728083212692,0.07248386807560314,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,371939,337173.17473971436,ok
Sulfurol,"L-Phenylalanine, D8",0.10686728083212692,0.07248386807560314,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,316149,300462.2135532947,ok
Sulfurol,"L-Phenylalanine, D8",0.10686728083212692,0.07248386807560314,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,380401,358753.93937753426,ok
Thiamine monophosphate,Inj_vol,0.09551490128108796,0.09551490128108796,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,114285,7619,ok
Thiamine monophosphate,Inj_vol,0.09551490128108796,0.09551490128108796,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,146493,9766.2,ok
Thiamine monophosphate,Inj_vol,0.09551490128108796,0.09551490128108796,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,146866,9791.066666666668,ok
Thiamine monophosphate,Inj_vol,0.09551490128108796,0.09551490128108796,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,122201,8146.733333333334,ok
Thiamine monophosphate,Inj_vol,0.09551490128108796,0.09551490128108796,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,188457,12563.8,ok
Thiamine monophosphate,Inj_vol,0.09551490128108796,0.09551490128108796,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,150755,10050.333333333334,ok
Tryptophan,"L-Phenylalanine, D8",0.10918401092974804,0.02654549543941316,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,214142,223982.40100338988,ok
Tryptophan,"L-Phenylalanine, D8",0.10918401092974804,0.02654549543941316,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,92329,85005.75420579051,ok
Tryptophan,"L-Phenylalanine, D8",0.10918401092974804,0.02654549543941316,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,160779,157395.37649984536,ok
Tryptophan,"L-Phenylalanine, D8",0.10918401092974804,0.02654549543941316,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,134839,122235.3496372479,ok
Tryptophan,"L-Phenylalanine, D8",0.10918401092974804,0.02654549543941316,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,214818,204159.08888243092,ok
Tryptophan,"L-Phenylalanine, D8",0.10918401092974804,0.02654549543941316,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,147829,139416.65795894733,ok
Tyrosine,"L-Phenylalanine, D8",0.11515989826216903,0.01679512635443653,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,3963655,4145795.610618614,ok
Tyrosine,"L-Phenylalanine, D8",0.11515989826216903,0.01679512635443653,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,4854628,4469574.180685899,ok
Tyrosine,"L-Phenylalanine, D8",0.11515989826216903,0.01679512635443653,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,4244958,4155622.081466053,ok
Tyrosine,"L-Phenylalanine, D8",0.11515989826216903,0.01679512635443653,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,1952562,1770052.4236934716,ok
Tyrosine,"L-Phenylalanine, D8",0.11515989826216903,0.01679512635443653,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,1815601,1725513.9044867305,ok
Tyrosine,"L-Phenylalanine, D8",0.11515989826216903,0.01679512635443653,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,1745398,1646074.5589040765,ok
Vitamin B3,"Pyridoxal, D3",0.14122371664431826,0.06298092811033187,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,233921,255988.30460359683,ok
Vitamin B3,"Pyridoxal, D3",0.14122371664431826,0.06298092811033187,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,111276,115139.63709973572,ok
Vitamin B3,"Pyridoxal, D3",0.14122371664431826,0.06298092811033187,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,83046,89435.01971600276,ok
Vitamin B3,"Pyridoxal, D3",0.14122371664431826,0.06298092811033187,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,308488,325441.03556708456,ok
Vitamin B3,"Pyridoxal, D3",0.14122371664431826,0.06298092811033187,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,114977,115773.99962648936,ok
Vitamin B3,"Pyridoxal, D3",0.14122371664431826,0.06298092811033187,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,248721,275009.03538688365,ok
Vitamin B5,Inj_vol,0.5890133565217947,0.5890133565217947,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,325049,21669.933333333334,ok
Vitamin B5,Inj_vol,0.5890133565217947,0.5890133565217947,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,380313,25354.2,ok
Vitamin B5,Inj_vol,0.5890133565217947,0.5890133565217947,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,386951,25796.733333333337,ok
Vitamin B5,Inj_vol,0.5890133565217947,0.5890133565217947,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,1415697,94379.8,ok
Vitamin B5,Inj_vol,0.5890133565217947,0.5890133565217947,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,1052754,70183.6,ok
Vitamin B5,Inj_vol,0.5890133565217947,0.5890133565217947,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,1243570,82904.66666666667,ok
Vitamin B6,"Pyridoxal, D3",0.20931110544343504,0.1006924352187584,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,409183,447783.92039455014,ok
Vitamin B6,"Pyridoxal, D3",0.20931110544343504,0.1006924352187584,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,379954,393146.4617221413,ok
Vitamin B6,"Pyridoxal, D3",0.20931110544343504,0.1006924352187584,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,392562,422763.16992694983,ok
Vitamin B6,"Pyridoxal, D3",0.20931110544343504,0.1006924352187584,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,324172,341986.9537286797,ok
Vitamin B6,"Pyridoxal, D3",0.20931110544343504,0.1006924352187584,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,415489,418369.09408673417,ok
Vitamin B6,"Pyridoxal, D3",0.20931110544343504,0.1006924352187584,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,316515,349968.3775615227,ok
Vitamin B9,"L-Phenylalanine, D8",0.13325195825184236,0.01004495857244617,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,6554,6855.1739321395025,ok
Vitamin B9,"L-Phenylalanine, D8",0.13325195825184236,0.01004495857244617,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,5956,5483.588818785954,ok
Vitamin B9,"L-Phenylalanine, D8",0.13325195825184236,0.01004495857244617,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,6076,5948.129467238013,ok
Vitamin B9,"L-Phenylalanine, D8",0.13325195825184236,0.01004495857244617,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,7884,7147.067959122081,ok
Vitamin B9,"L-Phenylalanine, D8",0.13325195825184236,0.01004495857244617,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,5922,5628.16023034269,ok
Vitamin B9,"L-Phenylalanine, D8",0.13325195825184236,0.01004495857244617,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,15626,14736.788433030802,ok
Xanthine,Inj_vol,0.7005605433912077,0.7005605433912077,210329_Smp_PPL_Aloha_A,210329,Smp,PPL,Aloha,3895,259.6666666666667,ok
Xanthine,Inj_vol,0.7005605433912077,0.7005605433912077,210329_Smp_PPL_Aloha_B,210329,Smp,PPL,Aloha,16184,1078.9333333333334,ok
Xanthine,Inj_vol,0.7005605433912077,0.7005605433912077,210329_Smp_PPL_Aloha_C,210329,Smp,PPL,Aloha,17233,1148.8666666666666,ok
Xanthine,Inj_vol,0.7005605433912077,0.7005605433912077,210329_Smp_PPL_PS_A,210329,Smp,PPL,PS,69554,4636.933333333333,ok
Xanthine,Inj_vol,0.7005605433912077,0.7005605433912077,210329_Smp_PPL_PS_B,210329,Smp,PPL,PS,10379,691.9333333333333,ok
Xanthine,Inj_vol,0.7005605433912077,0.7005605433912077,210329_Smp_PPL_PS_C,210329,Smp,PPL,PS,74175,4945,ok
