Bracket Type=4,,
File Name,InjVol,InjVol_norm
200826_Blk_Blk_1,15,15
200826_Blk_Blk_2,15,15
200826_Std_H2OinMatrix_1,15,15
200826_Std_250nMStdsInH2O_1,15,15
200826_Std_250nMStdsInMatrix_1,15,15
200826_Blk_Blk_3,15,15
200826_Blk_Blk_4,15,15
200826_Smp_PPL_PS_SAf_A,15,15
200826_Smp_PPL_PS_SAf_B,15,15
200826_Smp_PPL_PS_SAf_C,15,15
200826_Smp_PPL_PS_NS_A,15,15
200826_Blk_Blk_5,15,15
200826_Smp_PPL_PS_NS_B,15,15
200826_Smp_PPL_PS_NS_C,15,15
200826_Smp_PPL_PS_SBf_A,15,15
200826_Smp_PPL_PS_SBf_B,15,15
200826_Blk_Blk_6,15,15
200826_Smp_PPL_PS_SBf_C,15,15
200826_Smp_PPL_A_SAf_A,15,15
200826_Smp_PPL_A_SAf_B,15,15
200826_Smp_PPL_A_SAf_C,15,15
200826_Blk_Blk_7,15,15
200826_Smp_PPL_A_NS_A,15,15
200826_Smp_PPL_A_NS_B,15,15
200826_Smp_PPL_A_NS_C,15,15
200826_Smp_PPL_A_SBf_A,15,15
200826_Blk_Blk_8,15,15
200826_Smp_PPL_A_SBf_B,15,15
200826_Smp_PPL_A_SBf_C,15,15
200826_Blk_PPL_blk_A,15,15
200826_Blk_PPL_blk_B,15,15
200826_Blk_Blk_9,15,15
200826_Blk_PPL_blk_C,15,15
200826_Blk_A_blk1_A,15,15
200826_Blk_A_blk1_B,15,15
200826_Blk_A_blk1_C,15,15
200826_Blk_Blk_10,15,15
200826_Smp_A_SBe_A,15,15
200826_Smp_A_SBe_B,15,15
200826_Smp_A_SBe_C,15,15
200826_Blk_A_blk2_A,15,15
200826_Blk_Blk_11,15,15
200826_Blk_A_blk2_B,15,15
200826_Blk_A_blk2_C,15,15
200826_Smp_A_SAf_A,15,15
200826_Smp_A_SAf_B,15,15
200826_Blk_Blk_12,15,15
200826_Smp_A_SAf_C,15,15
200826_Blk_A_blk3_A,15,15
200826_Blk_A_blk3_B,15,15
200826_Blk_A_blk3_C,15,15
200826_Blk_Blk_13,15,15
200826_Smp_A_NS_A,15,15
200826_Smp_A_NS_B,15,15
200826_Smp_A_NS_C,15,15
200826_Blk_A_blk4_A-NP_blk1_A,15,15
200826_Blk_Blk_14,15,15
200826_Blk_A_blk4_B-NP_blk1_B,15,15
200826_Blk_A_blk4_C-NP_blk1_C,15,15
200826_Blk_NP_blk4_A-PS_blk1_A,15,15
200826_Blk_NP_blk4_B-PS_blk1_B,15,15
200826_Blk_Blk_15,15,15
200826_Blk_NP_blk4_C-PS_blk1_C,15,15
200826_Smp_PS_SBe_A,15,15
200826_Smp_PS_SBe_B,15,15
200826_Smp_PS_SBe_C,15,15
200826_Blk_Blk_16,15,15
200826_Smp_PS_SAf_A,15,15
200826_Smp_PS_SAf_B,15,15
200826_Smp_PS_SAf_C,15,15
200826_Smp_PS_NS_A,15,15
200826_Blk_Blk_17,15,15
200826_Smp_PS_NS_B,15,15
200826_Smp_PS_NS_C,15,15
200826_Blk_PS_blk4_A-LW_blk1_A,15,15
200826_Blk_PS_blk4_B-LW_blk1_B,15,15
200826_Blk_Blk_18,15,15
200826_Blk_PS_blk4_C-LW_blk1_C,15,15
200826_Blk_C_blk4_A2-LinA_blk1_A2,15,15
200826_Blk_C_blk4_B2-LinA_blk1_B2,15,15
200826_Blk_C_blk4_C2-LinA_blk1_C2,15,15
200826_Blk_Blk_19,15,15
200826_Smp_LinA_0point1_S_A,15,15
200826_Smp_LinA_0point1_S_B,15,15
200826_Smp_LinA_0point1_S_C,15,15
200826_Smp_LinA_0point5_S_A,15,15
200826_Blk_Blk_20,15,15
200826_Smp_LinA_0point5_S_B,15,15
200826_Smp_LinA_0point5_S_C,15,15
200826_Smp_LinA_blk3_A,15,15
200826_Smp_LinA_blk3_B,15,15
200826_Smp_LinA_blk3_C,15,15
200826_Blk_Blk_21,15,15
200812_Poo_TruePooSpike_Full1,15,15
200812_Poo_TruePooSpike_Full2,15,15
200812_Poo_TruePooSpike_Full3,15,15
20826_Blk_Blk_22,15,15
200812_Poo_TruePooSpike_Half1,15,7.5
200812_Poo_TruePooSpike_Half2,15,7.5
200812_Poo_TruePooSpike_Half3,15,7.5
20826_Blk_Blk_23,15,15
200812_Poo_TruePooNoSpike_Full1,15,15
200812_Poo_TruePooNoSpike_Full2,15,15
200812_Poo_TruePooNoSpike_Full3,15,15
20826_Blk_Blk_24,15,15
200812_Poo_TruePooNoSpike_Half1,15,7.5
200812_Poo_TruePooNoSpike_Half2,15,7.5
200812_Poo_TruePooNoSpike_Half3,15,7.5
20826_Blk_Blk_25,15,15
200826_Std_H2OinMatrix_2,15,15
200826_Std_250nMStdsInH2O_2,15,15
200826_Std_250nMStdsInMatrix_2,15,15
20826_Blk_Blk_26,15,15
20826_Blk_Blk_27,15,15